provider_name;provider_product_id;product;additional_cover;combine_of_additionals;own_risk;breed;breed_connection;weight;gender;0;1;2;3;4;5;6;7;8;9;10;11;12;13
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;36 - 49;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;> 50;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;> 50;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;< 5;reu;1.72;2.38;2.38;3.29;3.29;3.29;3.29;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;< 5;teef;1.72;2.38;2.38;3.29;3.29;3.29;3.29;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;6 - 20;reu;2.14;2.81;2.81;3.70;3.70;3.70;3.70;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;6 - 20;teef;2.14;2.81;2.81;3.70;3.70;3.70;3.70;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;21 - 35;reu;2.71;3.46;3.46;4.61;4.61;4.61;4.61;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;21 - 35;teef;2.71;3.46;3.46;4.61;4.61;4.61;4.61;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;36 - 49;reu;4.31;5.19;5.19;7.32;7.32;7.32;7.32;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;36 - 49;teef;4.31;5.19;5.19;7.32;7.32;7.32;7.32;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;> 50;reu;6.72;8.66;8.66;10.59;10.59;10.59;10.59;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Crematie;;;;nee;> 50;teef;6.72;8.66;8.66;10.59;10.59;10.59;10.59;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;< 5;reu;27.56;30.41;30.41;32.68;32.68;32.68;32.68;33.90;35.26;36.61;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;< 5;teef;27.56;30.41;30.41;32.68;32.68;32.68;32.68;33.90;35.26;36.61;;;;
